Date,Close,High,Low,Open,Volume
2024-05-16,189.41,190.67,189.23,190.04,52845200
2024-05-17,189.44,190.38,188.75,189.08,41282900
2024-05-20,190.61,191.49,188.58,188.90,44361300
2024-05-21,191.92,192.30,190.49,190.66,42309400
2024-05-22,190.47,192.39,189.84,191.84,34648500
2024-05-23,186.46,190.57,186.21,190.55,51005900
2024-05-24,189.55,190.15,187.62,188.39,36294600
2024-05-28,189.56,192.56,188.67,191.08,52280100
2024-05-29,189.86,191.82,189.08,189.18,53068000
2024-05-30,190.86,191.75,190.20,190.33,49947900
2024-05-31,191.82,192.14,189.48,191.01,75158300
2024-06-03,193.59,194.55,192.09,192.47,50080500
2024-06-04,193.91,194.88,192.59,194.20,47471400
2024-06-05,195.43,196.46,194.43,194.96,54156800
2024-06-06,194.04,196.06,193.73,195.25,41181800
2024-06-07,196.45,196.50,193.70,194.21,53103900
2024-06-10,192.68,196.86,191.72,196.46,97262100
2024-06-11,206.68,206.69,193.19,193.21,172373300
2024-06-12,212.59,219.70,206.43,206.90,198134300
2024-06-13,213.76,216.26,211.12,214.26,97862700
2024-06-14,212.01,214.69,210.82,213.37,70122700
2024-06-17,216.18,218.46,212.24,212.89,93728300
2024-06-18,213.81,218.14,212.52,217.10,79943300
2024-06-20,209.21,213.76,208.38,213.45,86172500
2024-06-21,207.02,211.41,206.64,209.92,246421400
2024-06-24,207.67,212.22,206.12,207.25,80727000
2024-06-25,208.60,210.90,208.14,208.68,56713900
2024-06-26,212.77,214.38,210.17,211.02,66213200
2024-06-27,213.62,215.25,211.87,214.21,49772700
2024-06-28,210.15,215.58,209.83,215.28,82542700
2024-07-01,216.26,217.02,211.44,211.61,60402900
2024-07-02,219.77,219.88,214.62,215.66,58046200
2024-07-03,221.05,221.05,218.54,219.50,37369800
2024-07-05,225.83,225.94,221.15,221.15,60412400
2024-07-08,227.31,227.34,222.75,226.58,59085900
2024-07-09,228.16,228.88,225.86,227.42,48076100
2024-07-10,232.45,232.55,228.73,228.78,62627700
2024-07-11,227.06,231.87,225.26,230.87,64710600
2024-07-12,230.02,232.12,228.16,228.40,53046500
2024-07-15,233.87,236.70,232.56,235.95,62631300
2024-07-16,234.29,235.74,231.81,234.47,43234300
2024-07-17,228.36,230.94,226.13,228.93,57345900
2024-07-18,223.67,229.92,221.77,229.76,66034600
2024-07-19,223.80,226.29,222.78,224.31,49151500
2024-07-22,223.46,227.27,222.59,226.50,48201800
2024-07-23,224.50,226.43,222.18,223.86,39960300
2024-07-24,218.05,224.29,216.64,223.50,61777600
2024-07-25,217.00,220.35,214.14,218.44,51391200
2024-07-26,217.47,219.00,215.52,218.21,41601300
2024-07-29,217.75,218.81,215.26,216.47,36311800
2024-07-30,218.31,219.83,215.63,218.70,41643800
2024-07-31,221.58,223.32,220.13,220.94,50036300
2024-08-01,217.87,223.97,216.53,223.86,62501000
2024-08-02,219.36,225.09,217.22,218.66,105568600
2024-08-05,208.80,213.02,195.56,198.64,119548600
2024-08-06,206.76,209.52,200.62,204.84,69660500
2024-08-07,209.35,213.16,205.92,206.43,63516400
2024-08-08,212.83,213.72,208.36,212.63,47161100
2024-08-09,215.75,216.29,211.49,211.62,42201600
2024-08-12,217.29,219.27,215.36,215.83,38028100
2024-08-13,221.03,221.65,218.77,218.77,44155300
2024-08-14,221.48,222.78,219.46,220.33,41960600
2024-08-15,224.47,225.10,222.52,224.35,46414000
2024-08-16,225.80,226.58,223.40,223.67,44340200
2024-08-19,225.64,225.74,222.79,225.47,40687800
2024-08-20,226.26,226.92,225.20,225.52,30299000
2024-08-21,226.15,227.73,224.80,226.27,34765500
2024-08-22,224.28,228.09,223.65,227.54,43695300
2024-08-23,226.59,227.97,224.08,225.41,38677300
2024-08-26,226.93,227.03,223.64,226.51,30602200
2024-08-27,227.78,228.60,224.64,225.75,35934600
2024-08-28,226.24,229.61,225.43,227.67,38052200
2024-08-29,229.54,232.66,228.63,229.85,51906300
2024-08-30,228.75,230.15,227.23,229.94,52990800
2024-09-03,222.53,228.75,220.93,228.30,50190600
2024-09-04,220.61,221.54,217.24,221.42,43840200
2024-09-05,222.14,225.23,221.28,221.39,36615400
2024-09-06,220.58,224.99,219.53,223.70,48423000
2024-09-09,220.67,221.03,216.47,220.58,67180000
2024-09-10,219.87,221.24,216.49,218.68,51591000
2024-09-11,222.42,222.84,217.65,221.22,44587100
2024-09-12,222.53,223.30,219.58,222.26,37498200
2024-09-13,222.26,223.79,221.67,223.33,36766600
2024-09-16,216.08,216.98,213.68,216.30,59357400
2024-09-17,216.55,216.66,214.26,215.51,45519300
2024-09-18,220.45,222.47,217.30,217.31,59894900
2024-09-19,228.62,229.57,224.38,224.74,66781300
2024-09-20,227.95,232.83,227.37,229.72,318679900
2024-09-23,226.22,229.20,225.56,227.09,54146000
2024-09-24,227.12,229.10,225.48,228.40,43556100
2024-09-25,226.12,227.04,223.77,224.68,42308700
2024-09-26,227.27,228.25,225.16,227.05,36636700
2024-09-27,227.54,229.27,227.05,228.21,34026000
2024-09-30,232.74,232.74,229.40,229.79,54541900
2024-10-01,225.96,229.40,223.49,229.27,63285000
2024-10-02,226.53,227.12,222.77,225.64,32880600
2024-10-03,225.42,226.56,223.07,224.89,34044200
2024-10-04,226.55,227.75,223.88,227.65,37245100
2024-10-07,221.45,225.44,221.09,224.25,39505400
2024-10-08,225.52,225.73,223.00,224.05,31855700
2024-10-09,229.29,229.50,224.58,224.98,33591100
2024-10-10,228.79,229.25,226.92,227.53,28183500
2024-10-11,227.30,229.16,227.09,229.05,31759200
2024-10-14,231.05,231.48,228.35,228.45,39882100
2024-10-15,233.59,237.23,232.11,233.35,64751400
2024-10-16,231.53,231.86,229.59,231.35,34082200
2024-10-17,231.89,233.59,230.27,233.17,32993800
2024-10-18,234.74,235.92,233.75,235.92,46431500
2024-10-21,236.22,236.59,234.19,234.19,36254500
2024-10-22,235.60,235.96,232.34,233.63,38846600
2024-10-23,230.51,234.88,227.51,233.82,52287000
2024-10-24,230.32,230.57,228.16,229.73,31109500
2024-10-25,231.16,232.96,229.32,229.49,38802300
2024-10-28,233.14,234.47,232.29,233.06,36087100
2024-10-29,233.41,234.07,232.06,232.84,35417200
2024-10-30,229.85,233.21,229.30,232.35,47070900
2024-10-31,225.66,229.58,225.12,229.09,64370100
2024-11-01,222.67,225.10,220.03,220.73,65276700
2024-11-04,221.77,222.55,219.47,220.75,44944500
2024-11-05,223.20,223.70,220.90,221.56,28111300
2024-11-06,222.48,225.82,220.95,222.37,54561100
2024-11-07,227.23,227.63,224.32,224.38,42137700
2024-11-08,226.96,228.66,226.41,227.17,38328800
2024-11-11,224.23,225.70,221.50,225.00,42005600
2024-11-12,224.23,225.59,223.36,224.55,40398300
2024-11-13,225.12,226.65,222.76,224.01,48566200
2024-11-14,228.22,228.87,225.00,225.02,44923900
2024-11-15,225.00,226.92,224.27,226.40,47923700
2024-11-18,228.02,229.74,225.17,225.25,44686000
2024-11-19,228.28,230.16,226.66,226.98,36211800
2024-11-20,229.00,229.93,225.89,228.06,35169600
2024-11-21,228.52,230.16,225.71,228.88,42108300
2024-11-22,229.87,230.72,228.06,228.06,38168300
2024-11-25,232.87,233.25,229.74,231.46,90152800
2024-11-26,235.06,235.57,233.33,233.33,45986200
2024-11-27,234.93,235.69,233.81,234.47,33498400
2024-11-29,237.33,237.81,233.97,234.81,28481400
2024-12-02,239.59,240.79,237.16,237.27,48137100
2024-12-03,242.65,242.76,238.90,239.81,38861000
2024-12-04,243.01,244.11,241.25,242.87,44383900
2024-12-05,243.04,244.54,242.13,243.99,40033900
2024-12-06,242.84,244.63,242.08,242.91,36870600
2024-12-09,246.75,247.24,241.75,241.83,44649200
2024-12-10,247.77,248.21,245.34,246.89,36914800
2024-12-11,246.49,250.80,246.26,247.96,45205800
2024-12-12,247.96,248.74,245.68,246.89,32777500
2024-12-13,248.13,249.29,246.24,247.82,33155300
2024-12-16,251.04,251.38,247.65,247.99,51694800
2024-12-17,253.48,253.83,249.78,250.08,51356400
2024-12-18,248.05,254.28,247.74,252.16,56774100
2024-12-19,249.79,252.00,247.09,247.50,60882300
2024-12-20,254.49,255.00,245.69,248.04,147495300
2024-12-23,255.27,255.65,253.45,254.77,40858800
2024-12-24,258.20,258.21,255.29,255.49,23234700
2024-12-26,259.02,260.10,257.63,258.19,27237100
2024-12-27,255.59,258.70,253.06,257.83,42355300
2024-12-30,252.20,253.50,250.75,252.23,35557500
2024-12-31,250.42,253.28,249.43,252.44,39480700
