Date,Close,High,Low,Open,Volume,MA20,DailyReturn,Volatility20
2024-01-02,184.73,187.52,182.99,186.24,82488700,,,
2024-01-03,183.35,184.97,182.54,183.32,58414500,,-0.007470362150165055,
2024-01-04,181.02,182.2,180.0,181.26,71983600,,-0.012707935642214285,
2024-01-05,180.3,181.87,179.29,181.1,62303300,,-0.003977461054027187,
2024-01-08,184.66,184.7,180.62,181.2,59144500,,0.02418191902384903,
2024-01-09,184.24,184.25,181.84,183.02,42841800,,-0.0022744503411674666,
2024-01-10,185.28,185.49,183.02,183.45,46792900,,0.005644811115935733,
2024-01-11,184.69,186.14,182.72,185.63,49128400,,-0.0031843696027633595,
2024-01-12,185.01,185.83,184.29,185.15,40444700,,0.0017326330608045115,
2024-01-16,182.73,183.36,180.05,181.27,65603000,,-0.012323658180638852,
2024-01-17,181.79,182.04,179.42,180.39,47317400,,-0.005144201827833372,
2024-01-18,187.71,188.22,184.92,185.18,78005800,,0.03256504758237533,
2024-01-19,190.63,191.01,187.9,188.41,68741000,,0.015555910713334287,
2024-01-22,192.94,194.38,191.32,191.36,60133900,,0.012117714945181879,
2024-01-23,194.23,194.8,192.89,194.07,42355600,,0.006686016378148585,
2024-01-24,193.55,195.42,193.39,194.47,53631300,,-0.003501003964372029,
2024-01-25,193.22,195.31,192.17,194.27,54822100,,-0.0017049857917851297,
2024-01-26,191.48,193.81,191.0,193.32,44594000,,-0.009005278956629836,
2024-01-29,190.8,191.26,188.66,191.07,47145600,,-0.0035512847294755234,
2024-01-30,187.12,190.86,186.56,190.01,55859400,186.974,-0.019287211740042,
2024-01-31,183.5,186.19,183.45,186.13,55467800,186.9125,-0.019345874305258692,0.013365886497750206
2024-02-01,185.95,186.04,182.92,183.09,64885400,187.0425,0.01335149863760221,0.013583017099013968
2024-02-02,184.94,186.42,178.38,178.98,102518000,187.2385,-0.0054315676257057355,0.013296843359610493
2024-02-05,186.77,188.33,184.93,187.23,69668800,187.56199999999998,0.009895101113874816,0.013376597404105165
2024-02-06,188.38,188.39,185.86,185.95,43490800,187.748,0.008620228088022541,0.012428131750088058
2024-02-07,188.49,190.12,187.69,189.71,53439000,187.9605,0.0005839261068054657,0.012404050298237924
2024-02-08,187.4,188.62,186.44,188.47,40962000,188.0665,-0.005782800148549039,0.012452298326252047
2024-02-09,188.17,189.31,187.32,187.97,45155200,188.2405,0.0041088580576307265,0.012441122646538863
2024-02-12,186.48,187.99,186.12,187.74,41781900,188.314,-0.008981240367752608,0.012637344762688069
2024-02-13,184.37,185.54,182.85,185.1,56529500,188.39600000000002,-0.011314886314886197,0.012585496254877844
2024-02-14,183.49,184.86,181.78,184.65,54630500,188.481,-0.0047730107935129995,0.012576971927928298
2024-02-15,183.2,183.82,180.7,182.89,65434500,188.25549999999998,-0.0015804676004143037,0.010068289832642244
2024-02-16,181.65,184.18,181.02,182.76,49701400,187.8065,-0.008460698689956248,0.00937729706289575
2024-02-20,180.91,181.77,179.35,181.13,53665600,187.20499999999998,-0.004073768235618003,0.00873803155923229
2024-02-21,181.66,182.23,180.01,181.28,41529700,186.5765,0.004145707810513599,0.00860455469201441
2024-02-22,183.71,184.29,181.8,182.82,52292200,186.0845,0.011284817791478607,0.009201274473556093
2024-02-23,181.86,184.37,181.57,184.34,45119700,185.5165,-0.010070219367481315,0.009349058399095063
2024-02-26,180.51,182.1,180.0,181.58,40867400,184.96800000000002,-0.0074232926426922585,0.009302001707652253
2024-02-27,181.97,183.26,178.91,180.45,54318900,184.5265,0.00808819455985832,0.009618130271290057
2024-02-28,180.77,182.46,179.48,181.85,48953900,184.209,-0.0065944935978456964,0.008825946250670845
2024-02-29,180.1,181.91,178.88,180.62,136682600,184.039,-0.003706367206948169,0.007813899175074811
2024-03-01,179.01,179.88,176.74,178.9,73488000,183.692,-0.006052193225985603,0.007124738113302253
2024-03-04,174.47,176.26,173.16,175.51,81510100,183.1685,-0.025361711636221362,0.008836395046798132
2024-03-05,169.51,171.42,169.01,170.14,95132400,182.3055,-0.02842895626755315,0.01000064806769739
2024-03-06,168.51,170.62,168.07,170.44,68587700,181.31199999999998,-0.005899356970090253,0.00949000006648234
2024-03-07,168.39,170.11,167.88,168.54,71765100,180.30700000000002,-0.0007121239095603249,0.00945050736027068
2024-03-08,170.11,173.07,168.33,168.39,76114600,179.4425,0.010214383276916816,0.010087867743693895
2024-03-11,172.13,173.75,171.43,172.32,60139500,178.6405,0.011874669331608745,0.010585193565430084
2024-03-12,172.61,173.4,170.39,172.53,59825400,177.947,0.002788590019171755,0.010643594060171537
2024-03-13,170.51,172.57,170.14,172.15,52488700,177.254,-0.012166154915706051,0.010676866032050104
2024-03-14,172.38,173.68,171.43,172.29,72913500,176.6985,0.010967098703888345,0.011173449650223695
2024-03-15,172.0,172.0,169.68,170.55,121664700,176.1385,-0.00220443206868548,0.011169976625588747
2024-03-18,173.09,177.07,172.89,174.94,75604200,175.7105,0.006337209302325508,0.011284977909677349
2024-03-19,175.45,175.97,172.41,173.71,55215200,175.4375,0.013634525391414742,0.011824383447333898
2024-03-20,178.03,178.03,174.46,175.09,53423100,175.256,0.014705044172128812,0.012313670960716493
2024-03-21,170.75,176.85,170.22,176.41,106181300,174.608,-0.04089198449699494,0.014853477084246752
2024-03-22,171.66,172.43,169.45,171.14,71106600,174.098,0.005329428989750973,0.01489650579322836
2024-03-25,170.23,171.32,168.84,169.96,54288300,173.584,-0.008330420598858246,0.014912775461133728
2024-03-26,169.1,170.8,168.97,169.39,57388400,172.9405,-0.006638077894613126,0.014707962564895276
2024-03-27,172.69,172.97,169.5,169.8,60273300,172.5365,0.0212300413956239,0.015688760472234414
2024-03-28,170.86,171.61,169.9,171.13,65672700,172.0745,-0.010597023568243547,0.015799647922830666
2024-04-01,169.42,170.63,168.87,170.57,46240500,171.595,-0.008427952709821107,0.015836568427637924
2024-04-02,168.23,168.73,167.62,168.47,49329500,171.28300000000002,-0.007023964112855663,0.014957592416923796
2024-04-03,169.04,170.06,167.97,168.18,47691700,171.2595,0.004814836830529634,0.01361965761948505
2024-04-04,168.21,171.3,168.21,169.68,53704400,171.24450000000002,-0.004910080454330279,0.013599075902154886
2024-04-05,168.97,169.78,168.34,168.98,42055200,171.27349999999998,0.00451816182153264,0.013634910021414466
2024-04-08,167.84,168.59,167.63,168.42,37425500,171.16000000000003,-0.006687577676510625,0.013508750229506183
2024-04-09,169.06,169.47,167.74,168.09,42451200,171.00650000000002,0.007268827454718796,0.013323167363684128
2024-04-10,167.18,168.48,166.51,168.19,49709300,170.73499999999999,-0.011120312315154313,0.013487210497911602
2024-04-11,174.41,174.83,167.55,167.73,91070300,170.93,0.043246799856442086,0.01653105522682301
2024-04-12,175.91,177.72,173.58,173.63,101593300,171.1065,0.008600424287598107,0.016466263318483963
2024-04-15,172.07,175.99,171.88,174.73,73531800,171.10999999999999,-0.02182934455119101,0.017242652700780788
2024-04-16,168.77,173.13,167.66,171.13,73711200,170.894,-0.019178241413378205,0.017699543557845136
2024-04-17,167.39,170.03,167.39,169.0,50901200,170.491,-0.008176808674527636,0.017412586984420702
2024-04-18,166.44,168.03,165.95,167.42,43122900,169.9115,-0.00567536889897835,0.016961403475185387
2024-04-19,164.41,165.8,163.49,165.61,67772100,169.59449999999998,-0.01219658735880802,0.014665659879195663
2024-04-22,165.24,166.66,164.18,164.92,48116400,169.2735,0.0050483547229487336,0.014658612272374395
2024-04-23,166.3,166.45,164.33,164.75,49537800,169.077,0.006414911643669807,0.014683835246127127
2024-04-24,168.41,168.69,165.61,165.94,48251800,169.0425,0.012687913409500817,0.014931652621302036
2024-04-25,169.28,170.0,167.54,168.92,50558300,168.872,0.00516596401638858,0.014134688558854297
2024-04-26,168.69,170.72,168.57,169.27,44838400,168.7635,-0.0034853497164460956,0.013966430710372478
2024-04-29,172.87,175.4,172.48,172.74,68169400,168.93599999999998,0.0247791807457467,0.0149214624482429
2024-04-30,169.72,174.36,169.39,172.71,65934800,169.0105,-0.01822178515647599,0.015443797785162718
2024-05-01,168.69,172.09,168.5,168.97,50383100,168.993,-0.006068819231675682,0.015477443202582592
2024-05-02,172.41,172.79,170.27,171.89,94214900,169.203,0.02205228525698022,0.016184517650600184
2024-05-03,182.72,186.33,182.0,185.98,163224100,169.8905,0.05979931558494278,0.02081185150688763
2024-05-06,181.05,183.54,179.77,181.69,78569700,170.551,-0.0091396672504378,0.02088596901787948
2024-05-07,181.74,184.23,180.67,182.79,77305800,171.185,0.0038111019055508955,0.02087178049900748
2024-05-08,182.08,182.41,180.8,182.19,45057100,171.93,0.0018708044459117001,0.020582303490585707
2024-05-09,183.9,183.99,181.45,181.9,48983000,172.40449999999998,0.00999560632688934,0.01852587459800653
2024-05-10,182.64,184.67,181.72,184.48,50759500,172.741,-0.006851549755301889,0.018593878716545602
2024-05-13,185.86,186.68,184.2,185.02,72044800,173.4305,0.017630310994305898,0.018012226249676716
2024-05-14,187.01,187.88,185.87,187.09,52393600,174.3425,0.00618745292155376,0.017166499280217885
2024-05-15,189.29,190.22,186.95,187.49,70400000,175.4375,0.012191861397786274,0.01692860193872077
2024-05-16,189.41,190.67,189.23,190.04,52845200,176.58599999999998,0.0006339479106134416,0.01675156015448959
2024-05-17,189.44,190.38,188.75,189.08,41282900,177.8375,0.00015838656881905777,0.01624136023559772
2024-05-20,190.61,191.49,188.58,188.9,44361300,179.10600000000002,0.006176097972973027,0.01623533283798405
2024-05-21,191.92,192.3,190.49,190.66,42309400,180.387,0.006872671947956377,0.01623435776917716
2024-05-22,190.47,192.39,189.84,191.84,34648500,181.49,-0.007555231346394242,0.016510267218239588
2024-05-23,186.46,190.57,186.21,190.55,51005900,182.349,-0.021053184228487343,0.01760940955238928
2024-05-24,189.55,190.15,187.62,188.39,36294600,183.392,0.016571918910222028,0.017672402813341922
2024-05-28,189.56,192.56,188.67,191.08,52280100,184.22650000000002,5.2756528620356846e-05,0.01714598464294405
2024-05-29,189.86,191.82,189.08,189.18,53068000,185.2335,0.0015826123654780755,0.016300150779423383
2024-05-30,190.86,191.75,190.2,190.33,49947900,186.342,0.005267038870746976,0.016063065278617415
2024-05-31,191.82,192.14,189.48,191.01,75158300,187.3125,0.005029864822382768,0.015630340188201936
2024-06-03,193.59,194.55,192.09,192.47,50080500,187.85600000000002,0.009227400688145204,0.009106278157495035
2024-06-04,193.91,194.88,192.59,194.2,47471400,188.499,0.0016529779430756175,0.008662157930227812
2024-06-05,195.43,196.46,194.43,194.96,54156800,189.1835,0.007838688051157838,0.008717083492728935
